region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_1	0.20745	554680	106032	20096	6035.01	0.00745423	809608	165540	53140	14916	0.00834311	1787822	382333	0.00664666	610486	7601	977561	26829	Neutre	3192	975	576	423	352	283	234	209	182	140	120	95	81	85	72	62	58	45	61
C_1	0.20745	554680	106032	20096	6035.01	0.00745423	809608	165540	53140	14916	0.00834311	1787822	382333	0.00664666	610486	7601	977561	26829	SW	2578	800	472	324	240	221	176	143	122	100	111	87	61	65	51	52	39	32	41
C_1	0.20745	554680	106032	20096	6035.01	0.00745423	809608	165540	53140	14916	0.00834311	1787822	382333	0.00664666	610486	7601	977561	26829	WS	2896	931	563	420	341	289	210	190	168	134	116	100	92	58	48	57	40	49	56
C_2	0.23495	260500	61180	11792	3543.36	0.00688601	514574	120835	56537	15912.6	0.00818112	1945037	457076	0.00715263	400428	5669	525598	10233	Neutre	3120	969	644	418	314	274	203	213	146	130	114	90	75	58	50	55	45	56	53
C_2	0.23495	260500	61180	11792	3543.36	0.00688601	514574	120835	56537	15912.6	0.00818112	1945037	457076	0.00715263	400428	5669	525598	10233	SW	2737	836	510	371	267	231	171	152	145	122	88	107	69	56	48	57	54	45	37
C_2	0.23495	260500	61180	11792	3543.36	0.00688601	514574	120835	56537	15912.6	0.00818112	1945037	457076	0.00715263	400428	5669	525598	10233	WS	2955	901	519	404	279	241	215	188	149	145	119	92	65	78	52	65	37	48	52
C_3	0.243511	207961	50602	9035	2719.87	0.00641627	423902	103242	55602	15707.8	0.00816162	1924600	468683	0.00720827	283864	5136	379218	8311	Neutre	3183	989	560	411	317	258	245	189	148	135	119	94	77	51	68	58	48	34	35
C_3	0.243511	207961	50602	9035	2719.87	0.00641627	423902	103242	55602	15707.8	0.00816162	1924600	468683	0.00720827	283864	5136	379218	8311	SW	2800	906	513	370	317	211	201	182	166	118	112	87	68	57	46	61	44	41	28
C_3	0.243511	207961	50602	9035	2719.87	0.00641627	423902	103242	55602	15707.8	0.00816162	1924600	468683	0.00720827	283864	5136	379218	8311	WS	2793	872	521	377	287	271	225	180	145	135	104	105	66	58	47	59	58	54	35
C_4	0.249382	196022	48887	8158	2476.63	0.00668943	370230	92327	55398	15363	0.00803661	1911628	476725	0.00719955	255025	4807	340066	8455	Neutre	3156	982	544	382	284	262	214	158	136	150	115	99	79	62	83	51	63	47	23
C_4	0.249382	196022	48887	8158	2476.63	0.00668943	370230	92327	55398	15363	0.00803661	1911628	476725	0.00719955	255025	4807	340066	8455	SW	2960	855	512	354	282	262	199	147	157	102	103	101	72	65	54	48	49	42	35
C_4	0.249382	196022	48887	8158	2476.63	0.00668943	370230	92327	55398	15363	0.00803661	1911628	476725	0.00719955	255025	4807	340066	8455	WS	2889	892	528	352	305	269	225	151	137	120	102	87	71	66	63	61	51	47	36
C_5	0.253802	173390	43978	6996	2099.75	0.00613949	342007	86809	56177	15710	0.00806195	1948654	494594	0.00722783	253981	4711	301153	6795	Neutre	3195	941	522	431	296	258	209	195	152	145	104	104	80	60	43	43	49	33	37
C_5	0.253802	173390	43978	6996	2099.75	0.00613949	342007	86809	56177	15710	0.00806195	1948654	494594	0.00722783	253981	4711	301153	6795	SW	3042	905	468	360	278	253	181	167	136	128	99	98	73	54	54	45	39	43	41
C_5	0.253802	173390	43978	6996	2099.75	0.00613949	342007	86809	56177	15710	0.00806195	1948654	494594	0.00722783	253981	4711	301153	6795	WS	2885	906	506	377	313	253	191	159	141	136	83	83	77	36	66	56	26	51	47
C_6	0.257498	169414	43630	7118	2182.86	0.00630101	346430	89206	55242	15488.3	0.00792191	1955120	503433	0.00715152	229672	4547	282095	6665	Neutre	3083	955	534	419	303	247	225	193	152	138	124	100	68	61	58	52	39	47	32
C_6	0.257498	169414	43630	7118	2182.86	0.00630101	346430	89206	55242	15488.3	0.00792191	1955120	503433	0.00715152	229672	4547	282095	6665	SW	3038	934	541	355	296	234	208	174	140	126	120	100	65	62	47	46	34	50	33
C_6	0.257498	169414	43630	7118	2182.86	0.00630101	346430	89206	55242	15488.3	0.00792191	1955120	503433	0.00715152	229672	4547	282095	6665	WS	2829	888	566	359	293	213	168	171	152	125	83	97	86	83	53	42	43	37	35
C_7	0.260677	168402	43886	7535	2304.27	0.00663569	347254	90525	55966	15630.6	0.00803981	1944153	506804	0.00729116	207048	4440	267276	6560	Neutre	3051	916	522	401	346	249	206	178	121	132	97	80	86	58	68	42	56	41	46
C_7	0.260677	168402	43886	7535	2304.27	0.00663569	347254	90525	55966	15630.6	0.00803981	1944153	506804	0.00729116	207048	4440	267276	6560	SW	3042	891	552	391	297	277	189	173	148	119	101	75	76	55	57	60	30	29	41
C_7	0.260677	168402	43886	7535	2304.27	0.00663569	347254	90525	55966	15630.6	0.00803981	1944153	506804	0.00729116	207048	4440	267276	6560	WS	2864	897	553	369	344	238	190	187	114	109	101	95	69	71	53	61	46	41	32
C_8	0.263457	156306	41172	7067	2126.86	0.00604063	352093	92762	55711	15728.8	0.00801786	1961717	516835	0.00722867	191623	4464	243302	6503	Neutre	3021	983	577	407	315	248	216	156	139	119	110	117	72	47	65	48	44	43	29
