bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
1	Neutre	283076	85728	49487	36459	28520	23388	19188	16222	13307	11415	10164	8496	7411	5870	5169	4648	4171	3729	3597
1	SW	362113	107866	61809	44909	35086	28648	23675	19331	16801	14633	12045	9658	8520	7285	6200	5376	4956	4402	4157
1	WS	257589	79933	47179	34200	27192	21971	18136	15181	13098	11337	9378	8040	7040	5843	5035	4485	4018	3648	3666
2	Neutre	283869	85837	49631	36344	28735	23451	19335	15976	13301	11506	10112	8420	7334	6051	5217	4504	4045	3746	3590
2	SW	362685	107725	61781	44986	35027	28523	23401	19764	16665	14618	11878	9857	8507	7118	6276	5449	4906	4443	4174
2	WS	257903	79973	46479	33930	27146	21891	18017	15140	12918	11296	9520	7965	7005	5854	5066	4468	3952	3658	3629
3	Neutre	284491	86290	49297	36236	28646	23159	19065	15968	13477	11459	10185	8308	7288	6119	5218	4554	3978	3706	3650
3	SW	363737	107627	62125	44541	34959	28653	23358	19161	16295	14590	11835	9954	8523	7067	6196	5438	4886	4437	4169
3	WS	257673	79920	46770	34086	27076	22105	18025	14955	12808	11262	9597	7813	6871	5782	5126	4666	3811	3707	3650
4	Neutre	284787	85737	49600	36081	28431	23271	19345	15994	13401	11359	10061	8170	7283	5939	5292	4616	4063	3659	3695
4	SW	363625	107778	61396	44667	35205	28482	23457	19349	16503	14586	11951	9780	8731	7259	6205	5441	4976	4258	4165
4	WS	257939	79824	46589	33858	27093	22046	17990	15141	13024	11300	9459	7857	6913	5788	5194	4602	3961	3612	3702
5	Neutre	284106	85699	49633	36325	28678	23107	19134	16086	13315	11539	10262	8173	7181	6097	5272	4482	4055	3627	3560
5	SW	363210	106726	61974	45140	34740	28509	22947	19349	16332	14442	12135	9741	8606	7329	6213	5325	5024	4360	4326
5	WS	258057	79929	46847	34231	27084	22182	18153	15195	13044	11392	9482	7861	6955	5950	5139	4638	3845	3701	3689
6	Neutre	284136	85487	49254	36614	28288	23403	19095	16037	13510	11777	10288	8122	7357	5977	5255	4549	4185	3647	3577
6	SW	363458	108222	61603	44875	34533	28725	23198	19507	16450	14505	12267	9907	8554	7085	6296	5369	4908	4272	4165
6	WS	257162	79826	46446	34284	27223	22046	17987	15391	13307	11318	9486	7821	6891	5805	5120	4743	3992	3545	3622
7	Neutre	284446	85823	49545	36045	28623	23100	19112	16256	13396	11553	10224	8412	7287	5983	5080	4409	4045	3675	3651
7	SW	362550	107758	61665	44903	34961	28669	23269	19241	16184	14441	11971	10030	8461	7133	6302	5432	4767	4428	4259
7	WS	257634	80636	46575	34205	27473	21947	17932	15073	13087	11380	9696	7957	6878	5875	5269	4567	3938	3654	3660
8	Neutre	283609	85591	49792	36119	28746	23571	19130	16002	13279	11639	9974	8248	7402	5974	5290	4391	3977	3810	3675
8	SW	363815	107392	61512	44567	34560	28653	23495	19532	16563	14467	12123	9773	8776	7216	6227	5612	4852	4466	4274
8	WS	257891	80062	46378	34179	27177	22162	17949	15269	12776	11346	9528	7847	6783	5772	5249	4712	4012	3649	3557
9	Neutre	283705	85723	49552	36221	28541	23276	19101	16151	13363	11420	10174	8511	7176	6049	5190	4600	4220	3632	3625
9	SW	363621	107825	61636	44852	34947	28554	23129	19413	16366	14596	12184	10006	8454	7185	6399	5448	4855	4305	4331
9	WS	257390	80520	46617	33880	27320	21991	17967	15147	12879	11224	9536	7913	6926	5856	5144	4604	3947	3758	3606
10	Neutre	283439	85566	49629	36264	28657	23167	19298	15919	13379	11469	9917	8339	7263	5959	5129	4427	4181	3738	3539
10	SW	363240	107675	62144	45116	34889	28178	23529	19288	16712	14651	12026	9920	8555	7176	6343	5408	4854	4280	4230
